
min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-01-01T00:00:00 2023-01-01T17:29:24      8.491    108.867    209.243 
2023-01-02T05:09:00 2023-01-02T16:48:36     18.757    123.355    244.494 
2023-01-03T16:07:48 2023-01-03T16:07:48    548.718    548.718    548.718 
2023-01-04T09:37:12 2023-01-04T21:16:48    212.269    217.511    222.753 
2023-01-05T08:56:24 2023-01-05T08:56:24    286.815    286.815    286.815 
2023-01-07T19:14:24 2023-01-07T19:14:24     20.839     20.839     20.839 
2023-01-08T01:04:12 2023-01-08T01:04:12    493.182    493.182    493.182 
2023-01-09T00:23:24 2023-01-09T17:52:48     42.977    300.824    519.046 
2023-01-10T05:32:24 2023-01-10T17:12:00     59.258    135.766    212.273 
2023-01-12T15:50:24 2023-01-12T21:40:12    255.072    257.335    259.598 
2023-01-13T09:19:48 2023-01-13T09:19:48    579.253    579.253    579.253 
2023-01-14T02:49:12 2023-01-14T02:49:12     18.891     18.891     18.891 
2023-01-15T07:58:12 2023-01-15T13:48:00      8.239     78.526    148.812 
2023-01-16T18:57:00 2023-01-16T18:57:00    397.713    397.713    397.713 
2023-01-17T06:36:36 2023-01-17T06:36:36    112.798    112.798    112.798 
2023-01-18T11:45:36 2023-01-18T17:35:24     13.273    190.087    493.796 
2023-01-19T05:15:00 2023-01-19T11:04:48     31.435     71.109    145.942 
2023-01-21T03:53:24 2023-01-21T03:53:24    651.116    651.116    651.116 
2023-01-22T03:12:36 2023-01-22T03:12:36    597.776    597.776    597.776 
2023-01-23T02:31:48 2023-01-23T20:01:12     49.625    309.166    568.706 
2023-01-25T07:00:00 2023-01-25T12:49:48    191.976    296.743    398.912 
2023-01-26T12:09:00 2023-01-26T12:09:00      24.39      24.39      24.39 
2023-01-27T17:18:00 2023-01-27T23:07:48     37.634    401.673    765.713 
2023-01-30T03:36:00 2023-01-30T15:15:36    123.786    255.953    388.119 
2023-01-31T02:55:12 2023-01-31T14:34:48     24.118    181.916     376.02 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-02-02T13:13:12 2023-02-02T13:13:12    293.372    293.372    293.372 
